ZScoreNorm_Cell_CD107a,ZScoreNorm_Cell_CD3,ZScoreNorm_Cell_CD45,ZScoreNorm_Cell_CD68,ZScoreNorm_Cell_CD86,ZScoreNorm_Cell_FerritinHC,ZScoreNorm_Cell_HLADR,ZScoreNorm_Cell_Mac2,ZScoreNorm_Cell_MerTK,ZScoreNorm_Cell_PLP,ZScoreNorm_Cell_S100B,ZScoreNorm_Cell_TIM3,ZScoreNorm_Cell_Vimentin,Phenograph2488198336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1.121490608,-0.086755992,-1.529410129,0.659354212,-1.055128678,-0.813033967,-0.714220132,-0.760969929,-0.579883246,-0.328732611,-0.275959466,-0.811260661,-0.076812388,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.842882704,-0.086755992,-0.041635035,-0.78158767,-0.671702255,0.745923891,-0.531001614,-0.522226632,-0.498868599,-0.343934452,-0.275959466,-0.489174809,-0.076812388,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.78833598,-0.086755992,-0.116305956,0.189051662,-0.800309868,1.418718391,-0.465157459,-0.658260749,-0.540114337,0.399151276,-0.275959466,-0.434016153,-0.076812388,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.240586532,-0.086755992,0.409665109,0.376653388,0.110402055,-0.537697512,-0.767154997,-0.690557032,-0.560630377,-0.190798705,-0.275959466,0.460405832,-0.076812388,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.532624133,-0.086755992,-0.082122774,0.036944228,0.530410588,-0.547910506,0.493356464,-0.284578488,-0.385845933,-0.44966455,-0.275959466,-0.56678936,-0.076812388,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.672846776,0.403659948,0.09110695,-0.232146704,-0.269386275,1.075564692,0.171336038,-0.637189589,-0.359347201,-0.354061955,-0.275959466,-0.639448318,-0.076812388,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.588473396,-0.086755992,-0.487564405,-0.068920839,-0.039813324,0.094161852,-0.558628532,-0.560829146,-0.506867126,-0.68591464,-0.275959466,-0.467574216,-0.076812388,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.771105652,-0.086755992,-1.086919261,-0.144608725,-1.300610694,-0.705575056,-1.353525389,-0.791435988,-0.639249546,-0.643626214,-0.275959466,-0.767622781,-0.076812388,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.769628326,-0.086755992,-0.335845636,-0.337569155,-0.123155411,1.866231535,-1.223718203,-0.659768122,-0.527584407,-0.345534361,-0.275959466,0.141680849,-0.076812388,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.77597018,-0.086755992,0.54566291,0.117410692,-1.205007204,-0.014834122,-1.40709195,-0.778431608,-0.620690975,-0.641674312,-0.275959466,-0.650951611,-0.076812388,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
