ZScoreNorm_Cell_CD107a,ZScoreNorm_Cell_CD3,ZScoreNorm_Cell_CD45,ZScoreNorm_Cell_CD68,ZScoreNorm_Cell_CD86,ZScoreNorm_Cell_FerritinHC,ZScoreNorm_Cell_HLADR,ZScoreNorm_Cell_Mac2,ZScoreNorm_Cell_MerTK,ZScoreNorm_Cell_PLP,ZScoreNorm_Cell_S100B,ZScoreNorm_Cell_TIM3,ZScoreNorm_Cell_Vimentin,Phenograph2488198336
1.467290016,0.132497431,1.37725398,-0.026486824,4.490826852,-0.518847755,1.70093306,-0.259333814,-0.349136171,-0.141258392,-0.275959466,1.51543172,-0.076812388,6
0.650751915,-0.086755992,0.329909568,0.523618691,0.57076977,-0.790827653,1.097144762,0.63494657,-0.045715422,0.547247333,-0.275959466,0.424921117,-0.076812388,3
0.605569834,0.530337921,0.908046485,0.569767772,1.819112516,-0.665139767,2.215329324,2.469544656,0.189727717,0.029173164,-0.275959466,0.72366439,-0.076812388,4
-0.21234574,-0.086755992,-0.74913837,-0.951164013,-0.609177374,-0.795037092,-0.966086108,-0.590097219,-0.594966713,-0.586220305,-0.275959466,-0.521267118,-0.076812388,2
0.067666735,-0.086755992,1.52697556,1.031903427,-0.486467024,0.30322916,-0.082310188,-0.499665793,-0.413025046,-0.200274643,-0.275959466,0.332915839,-0.076812388,6
0.540819149,-0.086755992,-0.129542465,0.930475999,-0.199962899,-0.699155433,0.221043889,0.840085703,-0.165646023,-0.159482151,-0.275959466,-0.671174815,-0.076812388,4
-0.552499358,-0.086755992,-0.236706258,-1.491246057,-0.849778636,-0.030899038,-0.082310188,-0.241038954,-0.556224247,-0.311836711,0.640786709,1.193473295,-0.076812388,2
1.106159243,-0.064178268,1.220587929,0.759926928,4.016087822,-0.590744578,0.306222077,-0.025924389,-0.468422638,-0.130731816,-0.275959466,0.659028488,-0.076812388,4
0.175107558,-0.086755992,-0.611159773,0.402312479,0.140485182,-0.459339572,0.336448422,0.360148821,-0.262066005,-0.291369033,-0.275959466,0.044845296,-0.076812388,2
0.266563259,-0.086755992,0.233167587,0.03530192,1.034900355,0.6922979,0.700369594,-0.106062575,-0.374025556,-0.338466787,-0.275959466,1.110187421,-0.076812388,6
0.15065709,-0.086755992,0.178315403,-0.281468102,0.078223026,-0.60311787,-0.569310941,-0.484353442,-0.557134847,0.057287489,-0.275959466,0.223274444,-0.076812388,2
1.3223797,-0.086755992,0.623737815,0.887171469,5.015843285,-0.515378578,-0.737004596,3.021859289,1.328892439,0.482968222,-0.275959466,0.413799821,-0.076812388,4
0.183702596,-0.086755992,1.682104105,-0.7873876,1.076688823,0.498104298,0.933766752,0.446942245,-0.245073765,-0.356937921,-0.275959466,0.464155538,-0.076812388,6
-0.060459046,-0.042832169,0.239577105,-0.325855123,-0.232194422,-0.147743586,0.950964437,0.116936133,-0.32444832,3.538856916,-0.275959466,0.59921895,-0.076812388,7
-0.626606784,-0.086755992,-0.278246095,-1.140569677,-0.440554018,0.45933965,1.203968845,-0.32310324,-0.206869036,-0.305157465,-0.275959466,-0.333341964,-0.076812388,1
1.083861678,-0.039901305,-0.542816507,0.92792794,1.19979342,-0.764292762,0.588192322,-0.410861552,-0.539430205,0.343537078,-0.275959466,-0.075419258,-0.076812388,4
1.400709507,-0.086755992,0.049705341,1.843333306,1.584566447,-0.657486243,0.036672951,3.310396436,1.670419857,0.227252183,-0.275959466,0.508117997,-0.076812388,4
0.282318955,6.55569631,2.522355667,-0.455368551,0.509819169,-0.794054211,1.217902421,1.24883191,-0.248912695,-0.307909798,-0.275959466,0.33522544,-0.076812388,12
-0.078667524,-0.086755992,0.0828077,-0.616938649,0.77705003,0.006575146,-0.384149196,-0.067800024,-0.207968685,0.129453489,-0.275959466,0.228444872,-0.076812388,1
-0.466463695,-0.086755992,0.361827561,-0.606764592,0.428237928,0.2885036,-0.569310941,-0.179109262,-0.398914941,-0.252932257,-0.275959466,-0.51018763,-0.076812388,8
-0.153598068,1.807552912,1.553878674,-1.243969076,0.312945114,0.058457967,0.047142185,0.211595561,-0.072597826,-0.043274345,-0.275959466,0.264700919,-0.076812388,12
1.019631867,-0.086755992,-0.214145822,1.152174826,0.834812419,-0.812096014,-0.388455283,2.917139395,0.356493477,0.06759807,-0.275959466,-0.243506942,-0.076812388,4
1.021194942,-0.086755992,-0.927040176,0.637209481,-0.076800494,4.760440089,1.118346488,0.530070457,-0.171125185,0.877277962,-0.275959466,0.253112942,-0.076812388,5
-0.523401694,-0.086755992,-0.653597905,-0.835099532,-0.233930593,0.689854611,0.309516445,-0.646694324,-0.525562191,-0.545703456,-0.275959466,-0.444868263,-0.076812388,1
-0.879738722,-0.086755992,0.007810876,-1.375420501,-0.640249717,0.049622287,1.405747669,-0.612216362,-0.462308418,-0.567190935,-0.275959466,-0.030076504,-0.076812388,1
1.219198772,3.09019118,0.875348818,1.033299862,2.350894571,-0.641457754,0.505234266,1.039905861,0.170245346,4.12685511,-0.275959466,0.245397093,-0.076812388,7
