ZScoreNorm_Cell_CD107a,ZScoreNorm_Cell_CD3,ZScoreNorm_Cell_CD45,ZScoreNorm_Cell_CD68,ZScoreNorm_Cell_CD86,ZScoreNorm_Cell_FerritinHC,ZScoreNorm_Cell_HLADR,ZScoreNorm_Cell_Mac2,ZScoreNorm_Cell_MerTK,ZScoreNorm_Cell_PLP,ZScoreNorm_Cell_S100B,ZScoreNorm_Cell_TIM3,ZScoreNorm_Cell_Vimentin,Phenograph2488198336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.116890092,-0.086755992,-1.294895375,-0.042939615,0.398167919,1.592650057,0.911983017,0.141975079,-0.023914874,0.01079092,-0.25367055,-0.211041467,-0.076812388,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.141382221,-0.086755992,-0.714755114,-0.674502085,0.093766907,-1.018161326,0.028903927,-0.377852236,-0.28315721,0.05086275,-0.275959466,2.246900228,-0.076812388,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.94989448,-0.086755992,-0.82438389,-2.631539974,-0.192161026,-0.074117572,-0.16532168,-0.196185111,-0.564786158,-0.813446334,3.183254992,0.451713333,-0.076812388,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.958440277,-0.086755992,-0.239419683,1.768823475,-0.806350718,-0.919649839,-1.340188408,2.218932073,1.774393336,1.638739791,-0.275959466,-0.407306674,-0.076812388,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.871966331,-0.086755992,0.596492993,-0.754565983,-0.304385794,-0.586443688,1.051613185,-0.299436935,-0.038034552,-0.493042285,-0.275959466,0.188183346,-0.076812388,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.327306364,-0.086755992,0.471781408,1.117681118,-0.101745976,0.052843243,1.23601607,-0.49437395,-0.022462993,0.068753569,-0.275959466,-0.201346915,1.789447025,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.878544986,-0.086755992,2.009926279,-0.184465303,0.906351068,-0.904950212,0.462304494,-0.564410471,-0.181420008,-0.383550571,-0.275959466,0.775032923,-0.076812388,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.190728872,-0.086755992,-0.021023036,1.591132549,-0.578029384,-0.977137231,0.520697821,1.649981006,2.166389539,3.536598608,-0.275959466,-0.486147233,-0.076812388,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.438734887,-0.086755992,1.878156192,0.153111907,1.699099177,-0.765034859,1.368113168,-0.024127333,0.017620357,-0.244124515,-0.275959466,1.215239879,-0.076812388,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1.157269601,-0.086755992,-1.642669495,-2.684185542,-0.471156034,-1.036378241,0.486111004,-0.262591191,-0.526042262,0.729297487,3.594232211,-0.102462489,-0.076812388,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.633173551,0.478459504,1.185235021,1.1284436,0.409246344,-0.502714963,1.652629996,1.49526108,0.573484108,-0.434931179,-0.275959466,0.50737583,-0.076812388,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.922226887,-0.086755992,-1.604242215,-2.625602294,-0.788184499,-0.020686338,-0.074059045,-0.295086474,-0.585527661,-0.315887024,3.318799616,-0.134419469,0.064501203,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.522767889,-0.086755992,1.150822706,0.159879723,0.939472958,-1.099854901,0.43387881,-0.398452998,0.205345604,1.378301485,-0.275959466,0.267030152,-0.076812388,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
