ZScoreNorm_Cell_CD107a,ZScoreNorm_Cell_CD3,ZScoreNorm_Cell_CD45,ZScoreNorm_Cell_CD68,ZScoreNorm_Cell_CD86,ZScoreNorm_Cell_FerritinHC,ZScoreNorm_Cell_HLADR,ZScoreNorm_Cell_Mac2,ZScoreNorm_Cell_MerTK,ZScoreNorm_Cell_PLP,ZScoreNorm_Cell_S100B,ZScoreNorm_Cell_TIM3,ZScoreNorm_Cell_Vimentin,Phenograph3894194161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.637287737,-0.075558184,-0.553782695,0.973536702,-0.571759098,0.936045886,1.533231213,-1.317828702,-0.485432405,0.605059426,-0.724650412,-1.504886806,-0.146125298,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.781728247,-0.075558184,-0.616707011,-1.750323402,0.620045579,-0.604234434,-1.4049663,-1.464606336,-1.19947533,0.389439828,1.554490581,-2.093782067,-0.146125298,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.421394094,-0.075558184,-0.616707011,0.54438867,-0.452480241,0.15376032,-0.463436183,-1.347582069,-0.683880902,0.11956566,-0.766046861,-1.403929802,-0.146125298,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.772711772,-0.075558184,-0.616707011,-1.750323402,-0.764076439,0.34755344,-1.261116901,-1.526614,-0.97259127,1.450035257,1.459239014,-1.555685468,-0.146125298,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.508514958,-0.075558184,-0.445828166,0.108522608,-0.825819576,1.476314579,-0.88005431,-1.469343032,-0.618768313,1.225198847,-0.219762312,-1.552699534,-0.146125298,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.724844896,-0.075558184,-0.616707011,-1.708630254,1.299872654,-0.819006011,0.393606821,-1.156999691,-0.996421332,3.084442853,3.028775361,-1.329738143,-0.146125298,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.310257073,-0.075558184,-0.616707011,-0.084363676,1.014484496,1.198270695,-0.723341455,-0.600632889,-0.321461354,0.121541279,-0.766046861,3.703580174,-0.146125298,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.790985161,-0.075558184,-0.616707011,-1.749843196,-0.611918639,2.05510825,3.65853255,-1.39134543,-0.982978733,-0.602413305,2.620725807,-0.950536332,-0.146125298,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.808131898,-0.069656635,-0.616707011,-1.750323402,-1.27965753,-1.197161691,0.1707977,-1.296645637,-1.254737224,0.418868963,3.214386003,-2.105742789,-0.146125298,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.805903671,-0.075558184,-0.616707011,-1.745049715,-0.956301379,1.645168685,-0.487728785,-1.76504823,-1.174775817,0.784988613,2.677826624,-2.007841071,-0.146125298,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.738995909,-0.075558184,-0.616707011,-1.728714148,0.167280056,-1.101670618,0.322403654,-1.092120583,-1.075360851,0.195858179,3.006850605,-1.561784395,-0.146125298,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.371511771,-0.075558184,0.22123898,1.887658013,0.440227838,0.131884016,-0.157349396,-1.538164447,-0.885519889,5.145540236,-0.766046861,-0.337424709,-0.146125298,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.356665841,-0.075558184,-0.612268599,1.142229556,-0.006126202,-0.564077617,1.081573314,-1.302205312,-0.766696915,-0.359851202,-0.766046861,-1.35093576,-0.146125298,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.805903671,-0.075558184,-0.616707011,-1.750323402,-1.27079598,-0.132226783,-1.458218241,-1.514341649,-1.118664968,-0.486496608,2.40638471,-2.308140642,-0.146125298,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.125393251,-0.075558184,-0.616707011,2.073672582,1.289567222,-0.357602239,0.360745556,-1.302205312,-0.638708532,-0.04246075,-0.761185645,-0.490986989,-0.146125298,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.24243032,-0.018095731,-0.616707011,1.058026581,-0.080083499,1.494483532,2.946478025,-1.407765978,-0.673268324,-0.236115069,-0.161027381,-1.208688595,-0.146125298,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.055982235,-0.075558184,-0.616707011,1.146415368,-0.28716393,0.077337449,-0.833507214,-0.89427596,1.348742617,0.626272851,-0.766046861,-0.724887502,-0.146125298,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.725738844,-0.075558184,-0.616038863,-1.731502439,0.196341839,0.621578684,0.197009143,-1.45482735,-1.292592146,1.828022852,2.95802473,-1.413901799,-0.146125298,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.691590013,-0.075558184,-0.616707011,-1.750323402,0.065510866,1.958150309,3.957817409,-1.411109528,-0.969536134,0.351591129,2.343576593,-0.662013215,-0.146125298,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.286120846,-0.075558184,-0.433288317,1.908149283,0.254595546,-0.425478532,-0.22004187,-1.607049644,-0.366238763,1.998553822,-0.766046861,-1.258675049,-0.146125298,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.78413264,-0.075558184,-0.616707011,-1.746830997,-0.514265125,-1.183444126,0.631055965,-1.657519067,-1.024528585,-0.038583634,2.71481167,-1.906034967,-0.146125298,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.776530195,-0.075558184,-0.616707011,-1.724288157,-0.151724061,-0.960174066,0.030728028,-1.450909864,-0.985732037,1.54804923,2.455376899,-1.790530915,-0.146125298,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.739222006,-0.075558184,-0.616707011,-1.749835975,-0.439304655,1.601050558,-0.431216521,-1.56204695,-0.898785612,-0.635690188,3.211128572,-1.753969395,-0.146125298,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.77204258,-0.075558184,-0.610881596,-1.746384215,-0.486232321,-0.680172502,0.782166993,-1.379345798,-1.13651842,0.320955315,2.913165211,-1.5855448,-0.146125298,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.399812587,-0.075558184,-0.616707011,1.322630879,-0.256365275,0.535380295,-0.37119085,-1.03168525,-0.923499836,1.157018192,-0.226840853,-1.924795899,-0.146125298,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.729658102,-0.075558184,-0.616707011,-1.748333076,0.008665258,2.692818868,1.759720482,-1.464606336,-0.94388907,-0.405221118,2.002941182,-1.49910989,-0.146125298,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.607306087,-0.075558184,-0.518143665,0.902026201,1.069569931,0.229028218,0.02208079,-1.025563568,-0.37620762,2.519624753,-0.010286481,-0.96261735,-0.146125298,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.777739437,-0.075558184,-0.616707011,-1.743746673,-0.938845619,0.256906567,-0.383587456,-1.700205502,-1.117112494,-0.070236919,2.809062787,-2.039666298,-0.146125298,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.309381945,-0.075558184,-0.616707011,0.307894455,2.119841556,-0.967764881,0.311983678,0.113549496,1.100624134,-0.583359558,-0.766046861,0.784724129,-0.146125298,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.790585761,-0.075558184,-0.616707011,-1.750323402,0.024739214,-0.990425191,-0.367894642,-1.54477424,-1.241884747,1.56694825,2.788737394,-1.809196377,-0.146125298,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.806339885,-0.075558184,-0.616707011,-1.750323402,-1.00884106,-0.930782223,-0.521378538,-1.706002426,-1.059153462,-0.033809036,2.08496351,-2.313006607,-0.146125298,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.758099778,-0.075558184,-0.616707011,-1.727019305,-0.309206105,-1.18717611,0.760910966,-1.495812807,-1.103962125,-0.243728711,2.757484858,-1.960367242,-0.146125298,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.758792588,-0.075558184,-0.616707011,-1.750323402,0.462270012,-0.835129658,0.13173257,-1.379345798,-1.106762667,0.418213389,2.790480345,-1.432266894,-0.146125298,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.718634646,-0.075558184,-0.616707011,-1.685235289,-0.368427852,2.721956446,0.532267823,-0.878397339,-0.861833382,3.229213669,2.840134335,-1.03073682,-0.146125298,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.473590523,-0.075558184,-0.616707011,1.204905746,0.257878937,-0.605354805,-0.735513327,-0.479373458,-0.089656917,-0.511494922,-0.766046861,-0.79128656,-0.146125298,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.579903805,-0.075558184,-0.097329117,0.845844954,0.985459746,1.172361408,0.59535459,-1.430287629,-0.566892245,0.872674084,-0.446746512,-0.917484493,-0.146125298,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.791697494,-0.075558184,-0.616707011,-1.750323402,-1.469260767,2.045120939,-0.318281624,-1.251308496,-1.086639188,-0.200233412,2.701686063,-2.247190665,-0.146125298,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.841765854,-0.075558184,-0.137460597,1.141094094,2.064508096,-0.347103674,-0.695639952,0.51369947,2.381842894,0.369121908,-0.766046861,1.936826782,-0.146125298,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.395153914,-0.075558184,-0.60893979,2.051554669,-0.743850239,-0.132226783,-0.699378081,-1.581839575,-0.743742476,3.065872035,-0.766046861,-1.47058637,-0.146125298,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
