ImageId,CellId,Cell_CD107a,Cell_CD3,Cell_CD45,Cell_CD68,Cell_CD86,Cell_DNA1,Cell_DNA2,Cell_FerritinHC,Cell_HLADR,Cell_HistoneH3,Cell_Mac2,Cell_MerTK,Cell_PLP,Cell_S100B,Cell_TIM3,Cell_Vimentin,Area,Eccentricity,Solidity,Extent,EulerNumber,Perimeter,MajorAxisLength,MinorAxisLength,Orientation,X_position,Y_position,Percent_Touching,Number_Neighbors,neighbour_4_CellId1,neighbour_4_CellId2,neighbour_4_CellId3,neighbour_4_CellId4,neighbour_4_CellId5,neighbour_4_CellId6,neighbour_4_CellId7,neighbour_4_CellId8,ZScoreNorm_Cell_CD107a,ZScoreNorm_Cell_CD3,ZScoreNorm_Cell_CD45,ZScoreNorm_Cell_CD68,ZScoreNorm_Cell_CD86,ZScoreNorm_Cell_DNA1,ZScoreNorm_Cell_DNA2,ZScoreNorm_Cell_FerritinHC,ZScoreNorm_Cell_HLADR,ZScoreNorm_Cell_HistoneH3,ZScoreNorm_Cell_Mac2,ZScoreNorm_Cell_MerTK,ZScoreNorm_Cell_PLP,ZScoreNorm_Cell_S100B,ZScoreNorm_Cell_TIM3,ZScoreNorm_Cell_Vimentin,ZScoreNorm_Area,ZScoreNorm_Eccentricity,ZScoreNorm_Solidity,ZScoreNorm_Extent,ZScoreNorm_EulerNumber,ZScoreNorm_Perimeter,ZScoreNorm_MajorAxisLength,ZScoreNorm_MinorAxisLength,ZScoreNorm_Orientation,ZScoreNorm_X_position,ZScoreNorm_Y_position,ZScoreNorm_Percent_Touching,ZScoreNorm_Number_Neighbors,Phenograph2488198336,tSNE981812569_1,tSNE981812569_2
44351,563,20883.7383512545,0,19674.8172043011,32954.0322580645,2.24731182795699,3.3010752688172,6.22939068100358,3.86021505376344,0.0860215053763441,3.50537634408602,13.9426523297491,10.168458781362,4979.13978494624,0,0.577060931899642,0,279,0.463933587790846,0.958762886597938,0.815789473684211,1,58.412,20.1859060983995,17.8820882846989,-30.2316759225435,123.663082437276,420.609318996416,0.875,6,534,535,551,567,591,594,0,0,0.90866475823089,-0.0867559924426555,0.17161136351182,1.23131081037579,2.21381444886066,-0.646630775655426,-0.620964407204048,-1.04943906813987,-0.2467711273905,-0.425219960288459,2.19686882725822,0.964545744303116,0.0478885578388754,-0.275959465730703,-0.109300796295242,-0.0768123879425947,4.17648973081041,-1.7036634597735,0.951395658886623,1.79641109995298,0,2.26589479667559,1.88659799634965,3.80188722527728,-0.618725854157671,-1.33661808353396,-0.328509818775531,2.02905674449596,3.25717439067659,4,-10.1362421508022,-28.7622084776334
44351,564,26309.8289473684,0,37174.2105263158,24895.1842105263,1.48684210526316,21.8157894736842,40,3.86842105263158,0.105263157894737,27.7368421052632,3.51315789473684,11.0657894736842,7945.25,0,0.828947368421053,0,76,0.757545503207987,0.95,0.791666666666667,1,29.483,12.3447573449617,8.05843984312586,-78.4505088750277,346.671052631579,421.539473684211,0.916666666666667,3,542,570,577,0,0,0,0,0,1.54780410268849,-0.0867559924426555,2.55370076201316,0.231360313631725,0.773172581334562,2.89243851696238,2.94572679081019,-1.0480957429069,0.0738824882256252,1.49126164517127,-0.147254315862673,1.10885780297338,0.635456506875265,-0.275959465730703,0.476761456461931,-0.0768123879425947,-0.29296647149008,0.313497070137745,0.815777386998069,1.5450708971967,0,-0.532037140850037,-0.322786451972657,-0.337323719274808,-1.54157984218996,-0.552688825645433,-0.325289626586593,2.1678231662147,1.2356256444987,3,-12.651067072822,-14.9330658075059
44351,565,23759.3916666667,0,13055.675,32330.6,1.10833333333333,1.5,2.525,3.90833333333333,0.0916666666666667,1.625,12.2583333333333,11.25,1544.05,0,0.516666666666667,0,120,0.544349145261581,0.9375,0.779220779220779,1,38.365,13.6725521700238,11.4693400683048,31.6784124021998,458.233333333333,421.916666666667,0.777777777777778,3,545,555,587,0,0,0,0,0,1.24738803281392,-0.0867559924426555,-0.729413499573151,1.1539546681008,0.0561215695778056,-0.990904530412533,-1.01220453885632,-1.04156208690307,-0.152697015161946,-0.573940087675727,1.81830290879511,1.13848322480372,-0.63258132134939,-0.275959465730703,-0.249819673075028,-0.0768123879425947,0.675782656102144,-1.15119579751831,0.622321910921752,1.41539478314181,0,0.327005047580348,0.0513435804118017,1.0998648799311,0.566163294159573,-0.160519272948825,-0.323983785835839,1.70526842715224,1.2356256444987,4,-9.21214302637476,-20.3033407318507
44351,566,22751.8823529412,0,29816.8970588235,22982.6029411765,0.647058823529412,12.6911764705882,23.0294117647059,4.39705882352941,0.0735294117647059,15.3676470588235,16.1323529411765,25.5882352941176,21884.1323529412,0,0.367647058823529,0,68,0.88609838953465,0.883116883116883,0.485714285714286,1,33.354,14.7606719269812,6.84152994356947,31.0835674286787,874.191176470588,421.882352941176,0.395348837209302,2,578,582,0,0,0,0,0,0,1.12871348602868,-0.0867559924426555,1.55219299029421,-0.00595481863882122,-0.817721729392888,1.14827777383898,1.1533739459979,-0.961557532487757,-0.454946333722596,0.512974363069456,2.68902383167736,3.44441154164069,3.39666223497351,-0.275959465730703,-0.596542459278389,-0.0768123879425947,-0.469102676506849,1.19667583328807,-0.219335030449243,-1.64270627178747,0,-0.15764485179194,0.357940859015893,-0.850070770916145,0.554778633385723,1.30167745033148,-0.324102579830264,0.431629331687227,0.561776062439403,3,-27.9850190161938,-20.589857170081
44351,567,22199.6696428571,0,21273.75,28984.78125,2.10714285714286,5.51339285714286,9.66964285714286,4.94642857142857,0.0892857142857143,6.74553571428571,10.8303571428571,6.67857142857143,10473.8035714286,0,0.897321428571429,0,224,0.672135443549792,0.978165938864629,0.8,1,53.326,19.9010996386407,14.7353357351408,-74.580237365538,139.370535714286,422.433035714286,0.53968253968254,3,535,563,594,0,0,0,0,0,1.0636683373581,-0.0867559924426555,0.389264672484477,0.738801894237526,1.94827687141764,-0.223748458611427,-0.257621328621127,-0.871625489302754,-0.192374531884193,-0.168953752831266,1.49735235296724,0.403289083054678,1.13634721162812,-0.275959465730703,0.635846861278787,-0.0768123879425947,2.96555332132013,-0.273283616044919,1.25168579597353,1.63189751269433,0,1.77399110715105,1.80634866264112,2.47599769753247,-1.46750721789356,-1.28140242384236,-0.322196118047275,0.912317445902302,1.2356256444987,4,-3.21091119365322,-29.9595724967493
44351,568,11367.9,0,11624.5375,30586.2125,0.825,11.2125,19.7125,3.7,0.2375,8.05,5.6,6.3625,2038.5625,0,0.6375,0,80,0.654948246225598,1,0.808080808080808,1,30.773,11.9097923999894,8.99991731383248,83.2833577541869,56.7625,423.0875,0.555555555555556,2,543,569,0,0,0,0,0,0,-0.212206074655876,-0.0867559924426555,-0.924225822710032,0.937509198866274,-0.480628086963173,0.865630230222046,0.803057495263577,-1.07566633527469,2.27755088407571,-0.0657828661341855,0.321782309591046,0.352457300597811,-0.534621476862427,-0.275959465730703,0.0313223229747361,-0.0768123879425947,-0.204898368981696,-0.391362393648016,1.58959929130334,1.71609301863142,0,-0.407271950231348,-0.44534563497068,0.0593694109787484,1.55382364809636,-1.57179050314152,-0.319930365040329,0.965180844652298,0.561776062439403,1,-1.79708467951231,8.17801452537186
44351,569,12356.6041666667,0,18466.0208333333,22330.4444444444,1.58333333333333,22.8263888888889,40.875,3.82638888888889,0.208333333333333,23.6388888888889,10.1736111111111,10.8402777777778,1343.16666666667,0,0.763888888888889,0,144,0.819902315805367,0.935064935064935,0.654545454545455,1,45.883,18.2959176475642,10.4744758507111,84.408338506579,65.1736111111111,422.895833333333,1,6,528,543,554,568,579,600,0,0,-0.0957465866041282,-0.0867559924426555,0.0070650294050998,-0.086875343373403,0.955966582014152,3.08561359479038,3.03814013072902,-1.05497642459591,1.79150130422818,1.1671519921845,1.34974274621578,1.07259017347075,-0.672375057793577,-0.275959465730703,0.325390387808398,-0.0768123879425947,1.20419127115245,0.741898284590512,0.584635779218572,0.116378405826717,0,1.05412497244183,1.35405981577328,0.680677153263272,1.57535450876293,-1.54222332630203,-0.32059391435205,2.44535600965217,3.25717439067659,4,-9.92877683387507,-24.1402955795795
44351,570,31030.595890411,0,25061.2123287671,31165.6506849315,1.37671232876712,3.31506849315068,5.89041095890411,3.43835616438356,0.102739726027397,4.35616438356164,3.08219178082192,3.73287671232877,16116.2808219178,0,0.917808219178082,0,146,0.572543367974172,0.924050632911392,0.695238095238095,1,43.435,15.3072670193303,12.5500369233463,71.2449951093622,356.315068493151,424.356164383562,0.555555555555556,3,548,564,577,0,0,0,0,0,2.10386335674411,-0.0867559924426555,0.904829623483627,1.00940650942938,0.564541570596275,-0.643955984675918,-0.656765833814299,-1.11849753377758,0.0318306139778214,-0.357930608341268,-0.244117845329398,-0.0704484947996669,2.25408679147524,-0.275959465730703,0.683513320896509,-0.0768123879425947,1.24822532240664,-0.957497005878447,0.414173613877612,0.54036291786706,0,0.817361261872406,0.511953840345425,1.55521833407149,1.32342298727773,-0.518787677669242,-0.315538253500243,0.965180844652298,1.2356256444987,7,-19.8969261567962,-7.31349018334539
44351,571,19292.6081081081,0,21244.7837837838,19632.7162162162,1.17567567567568,1.63513513513514,2.95945945945946,3.09459459459459,0.135135135135135,0.824324324324324,2.47297297297297,6.13513513513514,3872.71621621622,0,0.608108108108108,0,74,0.681516462589656,1,0.672727272727273,1,28.756,11.5484119313638,8.45115997492219,-36.734767092597,403.567567567568,424.135135135135,0.736842105263158,2,558,586,0,0,0,0,0,0,0.721245487848719,-0.0867559924426555,0.385321671987623,-0.421612351191952,0.183695613541043,-0.965073583101189,-0.966318996332911,-1.17477143756975,0.571685756348275,-0.637266021793586,-0.381045278926668,0.315891637572264,-0.171287055981812,-0.275959465730703,-0.0370635679562876,-0.0768123879425947,-0.337000522744272,-0.208834524083938,1.58959929130334,0.305818294185168,0,-0.602350546725842,-0.547171070556079,-0.171850425177872,-0.743187672359188,-0.352683226332765,-0.316303455964574,1.56893650406014,0.561776062439403,3,-11.7565959113384,-6.95251507758618
44351,572,29631.0202020202,0,22557.4444444444,19469.696969697,1.15151515151515,5.77777777777778,10.5252525252525,7.43434343434343,0.151515151515152,9.2020202020202,3.64646464646465,12.7171717171717,14526.8585858586,0,0.737373737373737,0,99,0.918925555534169,0.811475409836066,0.471428571428571,1,44.386,19.3179918375881,7.61961507419821,45.1469246663547,580.363636363636,425.30303030303,0.178571428571429,1,597,0,0,0,0,0,0,0,1.93900730206682,-0.0867559924426555,0.5640064404279,-0.441839953893254,0.137925661617474,-0.173211542745652,-0.167255903367576,-0.464352850523707,0.844651473356366,0.0253311237519329,-0.117292418494917,1.37443923604847,1.93923215166638,-0.275959465730703,0.263697786794343,-0.0768123879425947,0.213425117933128,1.42220368173727,-1.32808985607719,-1.79155189835483,0,0.909339321002928,1.64204757005234,-0.522223280480501,0.82393540299691,0.268799543490018,-0.312260207087261,-0.290324875660097,-0.112073519619895,7,-21.0246799066639,-7.38872865088898
