ImageId,CellId,Cell_CD107a,Cell_CD3,Cell_CD45,Cell_CD68,Cell_CD86,Cell_DNA1,Cell_DNA2,Cell_FerritinHC,Cell_HLADR,Cell_HistoneH3,Cell_Mac2,Cell_MerTK,Cell_PLP,Cell_S100B,Cell_TIM3,Cell_Vimentin,Area,Eccentricity,Solidity,Extent,EulerNumber,Perimeter,MajorAxisLength,MinorAxisLength,Orientation,X_position,Y_position,Percent_Touching,Number_Neighbors,neighbour_4_CellId1,neighbour_4_CellId2,neighbour_4_CellId3,neighbour_4_CellId4,neighbour_4_CellId5,neighbour_4_CellId6,neighbour_4_CellId7,ZScoreNorm_Cell_CD107a,ZScoreNorm_Cell_CD3,ZScoreNorm_Cell_CD45,ZScoreNorm_Cell_CD68,ZScoreNorm_Cell_CD86,ZScoreNorm_Cell_DNA1,ZScoreNorm_Cell_DNA2,ZScoreNorm_Cell_FerritinHC,ZScoreNorm_Cell_HLADR,ZScoreNorm_Cell_HistoneH3,ZScoreNorm_Cell_Mac2,ZScoreNorm_Cell_MerTK,ZScoreNorm_Cell_PLP,ZScoreNorm_Cell_S100B,ZScoreNorm_Cell_TIM3,ZScoreNorm_Cell_Vimentin,ZScoreNorm_Area,ZScoreNorm_Eccentricity,ZScoreNorm_Solidity,ZScoreNorm_Extent,ZScoreNorm_EulerNumber,ZScoreNorm_Perimeter,ZScoreNorm_MajorAxisLength,ZScoreNorm_MinorAxisLength,ZScoreNorm_Orientation,ZScoreNorm_X_position,ZScoreNorm_Y_position,ZScoreNorm_Percent_Touching,ZScoreNorm_Number_Neighbors,Phenograph2488198336,tSNE981812569_1,tSNE981812569_2
111858,166,7841.09375,0,19213.03125,32078.1510416667,0.671875,5.71354166666667,10.875,11.546875,0.0520833333333333,6.77604166666667,5.64583333333333,2.13020833333333,2827.9375,0,0.71875,0,192,0.863817752768592,0.868778280542986,0.623376623376623,1,56.279,22.6106287720208,11.3913346333216,80.4036322394735,94.9427083333333,154.958333333333,0.236111111111111,1,174,0,0,0,0,0,0,-0.627628669381501,-0.0867559924426555,0.108751159967875,1.12263053097861,-0.770709702814364,-0.185490211797468,-0.130317237916615,0.208870179642494,-0.812335730669311,-0.166541018200545,0.332083765530499,-0.328195583044266,-0.378251208685392,-0.275959465730703,0.220366078939233,-0.0768123879425947,2.26100850125306,1.04360431709321,-0.441245525425427,-0.208375688502057,0,2.05959700474562,2.56980714529539,1.06699715750219,1.4987089550819,-1.43757744179353,-1.24819257718208,-0.0986950551913626,-0.112073519619895,4,-3.67504995633025,-12.8660887784072
111858,167,12433.9166666667,0,11151.0520833333,31616.3541666667,0.989583333333333,9.64583333333333,17.96875,8.91666666666667,0.0208333333333333,9.65625,3.09375,2.04166666666667,4206.65625,0,0.489583333333333,0,96,0.7340610968831,0.923076923076923,0.666666666666667,1,34.189,13.7675434255188,9.34931062365374,-38.1205341035702,195.114583333333,159.489583333333,0,0,0,0,0,0,0,0,0,-0.0866399453320921,-0.0867559924426555,-0.988678605194082,1.06533028014535,-0.168839683531281,0.566163447725863,0.61889091071105,-0.221695956049249,-1.33310313764881,0.0612564392511998,-0.241520031098091,-0.34243518312046,-0.105135616377292,-0.275959465730703,-0.312834258396527,-0.0768123879425947,0.14737404105184,0.152155465728884,0.399104053910616,0.24267166473235,0,-0.0768859880968967,0.0781090722059986,0.206586875097796,-0.769709687394692,-1.08544803780123,-1.23250540595391,-0.885038111597547,-0.785923101679193,2,-8.55676433957317,23.1282049255959
111858,168,8733.25675675676,0,14424.2702702703,20695.4459459459,0.527027027027027,4.09459459459459,7.77027027027027,23.1891891891892,0.027027027027027,1.7027027027027,2.08108108108108,0.837837837837838,3534.98648648649,0,0.378378378378378,0,74,0.218113172933398,0.925,0.672727272727273,1,31.303,10.0673309771291,9.8249447071854,-86.2393887101631,440.540540540541,164.513513513514,0,0,0,0,0,0,0,0,0,-0.522540766924396,-0.0867559924426555,-0.543114681999369,-0.289747708146281,-1.04511123132225,-0.494950342034726,-0.458224030910459,2.11472157833968,-1.22988797590512,-0.567794532887918,-0.469126523814367,-0.536039411819366,-0.238189210736138,-0.275959465730703,-0.571573979830956,-0.0768123879425947,-0.337000522744272,-3.39248878415576,0.428866434845434,0.305818294185168,0,-0.356011833155452,-0.964492222072044,0.406996103488402,-1.69065020283602,-0.222713901741442,-1.21511257771118,-0.885038111597547,-0.785923101679193,5,36.2107985875645,3.53740275572201
111858,169,16294.5301204819,0,21417.2048192771,35698.2289156627,0.987951807228916,1.39759036144578,2.49397590361446,7.03614457831325,0.0843373493975904,1.03614457831325,10.3373493975904,1.48192771084337,4230.72289156627,0,0.674698795180723,0,83,0.675083400327976,0.864583333333333,0.628787878787879,1,36.604,12.5898743452146,9.28807177550727,38.3813222742483,240.650602409639,165.710843373494,0.857142857142857,2,165,181,0,0,0,0,0,0.368101808121644,-0.0867559924426555,0.408792332551071,1.57181367067812,-0.171930463800165,-1.01048003144727,-1.01548115641626,-0.529538159422985,-0.274836840734648,-0.620513026971293,1.3865444060798,-0.432454483389525,-0.100368164664434,-0.275959465730703,0.117872476307879,-0.0768123879425947,-0.138847292100408,-0.253030684387193,-0.506168366190103,-0.151994769347756,0,0.156686054805533,-0.253720336100193,0.180783782490482,0.694449416574367,-0.925377446554718,-1.21096742603557,1.96958542090221,0.561776062439403,4,-5.33439182013196,-18.3704420382919
111858,170,8891.90410958904,0,23471.5479452055,15314.3835616438,1,7.49315068493151,13.8082191780822,14.3972602739726,0.0273972602739726,6.10958904109589,1.16438356164384,0.726027397260274,1732.94520547945,0,0.328767123287671,0,73,0.660236379919559,0.715686274509804,0.43452380952381,1,39.06,12.7521840281697,9.57762816166562,47.9830360871496,540.849315068493,165.287671232877,0.260869565217391,2,184,196,0,0,0,0,0,-0.503853691341512,-0.0867559924426555,0.688437968894461,-0.957435691894454,-0.149106240276098,0.154680290415913,0.179475426038292,0.675479366866713,-1.22371820284946,-0.219251168317138,-0.675162577042468,-0.554021182641023,-0.595162358323986,-0.275959465730703,-0.687004109067388,-0.0768123879425947,-0.359017548371368,-0.355032074596771,-2.81056447827566,-2.17606976698716,0,0.394223502991193,-0.207986668673487,0.302788857262849,0.878215371526294,0.129896738617702,-1.21243244646676,-0.0162396451845761,0.561776062439403,8,12.1506561110122,8.98557081905576
111858,171,8069.14285714286,0,16566.306122449,20853.7142857143,1.53061224489796,0.489795918367347,0.877551020408163,13.530612244898,0.0204081632653061,0.673469387755102,1.08163265306122,0.897959183673469,5094.22448979592,0,0.571428571428571,0,49,0.790772252317605,0.98,0.680555555555556,1,23.413,10.3247010105587,6.31985773561123,35.894827059634,313.469387755102,166.69387755102,0,0,0,0,0,0,0,0,0,-0.600766759455446,-0.0867559924426555,-0.251531951056029,-0.270109603042841,0.856091195743022,-1.18400404061958,-1.18620026748483,0.533608744621884,-1.34018840849207,-0.64919723197613,-0.693761591705306,-0.526370473420398,0.0706861206707609,-0.275959465730703,-0.122405566490899,-0.0768123879425947,-0.887426163421673,0.541770118068929,1.28007052958123,0.387382690561724,0,-1.11911055717209,-0.891973594100062,-1.06987824117448,0.646860707256347,-0.669401051152902,-1.20756416524307,-0.885038111597547,-0.785923101679193,8,23.8815489128914,4.14594295383042
111858,172,9281.875,0,12450.025,18356.225,0.65,2.425,5.3,10.65,0,2.125,0.85,0.35,3170.2,796.7,0.95,0,40,0.825106185013328,0.930232558139535,0.714285714285714,1,21.709,9.83284675878144,5.55533898920562,-50.252078498484,891.35,168.15,0,0,0,0,0,0,0,0,0,-0.457919010591192,-0.0867559924426555,-0.811857068767482,-0.580000748418868,-0.812149933650248,-0.814091696066383,-0.719122232256595,0.0620513904026564,-1.68028140896847,-0.534394778606346,-0.745823124134003,-0.614495306929156,-0.310451140388395,-0.18958991566769,0.758413692068955,-0.0768123879425947,-1.08557939406554,0.777649693228702,0.509847796923892,0.738823753290199,0,-1.28391666943119,-1.03056236073217,-1.39200951259146,-1.001893741639,1.36199504249616,-1.20252307455367,-0.885038111597547,-0.785923101679193,2,-7.91535652707793,15.3593053699155
111858,173,8514.47435897436,0,16903.9358974359,26233.7692307692,1.02564102564103,9.35897435897436,16.5641025641026,10.3717948717949,0.141025641025641,39.3974358974359,0.807692307692308,0.41025641025641,2487.05128205128,0,1.28205128205128,0,78,0.737762858748144,0.906976744186046,0.709090909090909,1,32.179,12.5627544337137,8.48061264189072,-23.1586699953524,911.807692307692,166.961538461538,0,0,0,0,0,0,0,0,0,-0.548311150927503,-0.0867559924426555,-0.205572397326647,0.397453376564578,-0.100531610724879,0.511330638737712,0.470538726757103,0.0165091018079349,0.669848427656954,2.41350521605922,-0.755332160385805,-0.604804646967801,-0.445778644084912,-0.275959465730703,1.53099488015266,-0.0768123879425947,-0.248932420235888,0.177587158154198,0.149930632130741,0.68469807090207,0,-0.27128756417718,-0.261361858100882,-0.159440493960622,-0.483356511359257,1.43390899039187,-1.20663752413203,-0.885038111597547,-0.785923101679193,2,-3.44780665922187,-7.56861987039551
111858,174,7482.57480314961,0,28959.5354330709,31770.8661417323,0.606299212598425,0.322834645669291,0.653543307086614,7.1496062992126,0.015748031496063,0.582677165354331,6.61417322834646,1.79527559055118,2400.45669291339,0,0.307086614173228,0,127,0.708052958620971,0.863945578231292,0.604761904761905,1,44.469,16.0620533477654,11.3423689264921,47.8946938091417,101.669291338583,167.102362204724,0.518518518518518,4,163,166,175,187,0,0,0,-0.669858624928078,-0.0867559924426555,1.43548539924772,1.08450229149342,-0.894937166456245,-1.21591852262151,-1.2098588971484,-0.510964431213915,-1.41784744009692,-0.656378044967999,0.549726909448131,-0.382060712188443,-0.462932492542455,-0.275959465730703,-0.737447984442364,-0.0768123879425947,0.829901835491816,-0.0265245782478992,-0.516038543540937,-0.402326050392852,0,0.917366848771418,0.724628440495009,1.04636537382001,0.876524600128907,-1.41393180608447,-1.20614999283882,0.841832914235642,1.909475226558,8,-2.72877006177892,-11.2771707228696
111858,175,19676.5746606335,0,22760.6742081448,36224.2081447964,1.38461538461538,5.71493212669683,10.7963800904977,8.66968325791855,0.081447963800905,6.52941176470588,16.0859728506787,4.94570135746606,4662.75113122172,0,0.755656108597285,0,221,0.750451679972909,0.91701244813278,0.619047619047619,1,57.048,21.0067447760575,13.883889472094,-21.7111117846368,117.529411764706,167.420814479638,0.657534246575342,4,163,174,187,202,0,0,0,0.766472917492166,-0.0867559924426555,0.591670911799117,1.63707773675144,0.579513202992199,-0.185224426739112,-0.138620698969438,-0.262127236924205,-0.32298717177304,-0.186047129598126,2.67859948712325,0.124602474528978,-0.0147860627547257,-0.275959465730703,0.306235240628641,-0.0768123879425947,2.89950224443884,0.264761376916177,0.305247582912848,-0.253480423825497,0,2.13397253310668,2.1178840318561,2.11723936943651,-0.455651882568589,-1.35817948286104,-1.20504751220664,1.30481007771734,1.909475226558,4,-10.8787846730925,-26.6235656021879
