,Phenotype
Cell457,1
Cell458,1
Cell459,1
Cell460,1
Cell461,1
Cell462,1
Cell463,1
Cell464,1
Cell465,1
Cell466,1
Cell467,1
Cell468,1
Cell469,1
Cell470,1
Cell471,1
Cell472,1
Cell473,1
Cell474,1
Cell475,1
Cell476,1
Cell477,1
Cell478,1
Cell479,1
Cell480,1
Cell481,1
Cell482,1
Cell483,1
Cell484,1
Cell485,1
Cell486,1
Cell487,1
Cell488,1
Cell489,1
Cell490,1
Cell491,1
Cell492,1
Cell493,1
Cell494,1
Cell495,1
Cell496,1
Cell497,1
Cell498,1
Cell499,1
Cell500,1
Cell501,1
Cell502,1
Cell503,1
Cell504,1
Cell505,1
Cell506,1
Cell507,1
Cell508,1
Cell509,1
Cell510,1
Cell511,1
Cell512,1
Cell513,1
Cell514,1
Cell515,1
Cell516,1
Cell517,1
Cell518,1
Cell519,1
Cell520,1
Cell521,1
Cell522,1
Cell523,1
Cell524,1
Cell525,1
Cell526,1
Cell527,1
Cell528,1
Cell529,1
Cell530,1
Cell531,1
Cell532,1
Cell533,1
Cell534,1
Cell535,1
Cell536,1
Cell537,1
Cell538,1
Cell539,1
Cell540,1
Cell541,1
Cell542,1
Cell543,1
Cell544,1
Cell545,1
Cell546,1
Cell547,1
Cell548,1
Cell549,1
Cell550,1
Cell551,1
Cell552,1
Cell553,1
Cell554,1
Cell555,1
Cell556,1
Cell557,1
Cell558,1
Cell559,1
Cell560,1
Cell561,1
Cell562,1
Cell563,1
Cell564,1
Cell565,1
Cell566,1
Cell567,1
Cell568,1
Cell569,1
Cell570,1
Cell571,1
Cell572,1
Cell573,1
Cell574,1
Cell575,1
Cell576,1
Cell577,1
Cell578,1
Cell579,1
Cell580,1
Cell581,1
Cell582,1
Cell583,1
Cell584,1
Cell585,1
Cell586,1
Cell587,1
Cell588,1
Cell589,1
Cell590,1
Cell591,1
Cell592,1
Cell593,1
Cell594,1
Cell595,1
Cell596,1
Cell597,1
Cell598,1
Cell599,1
Cell600,1
Cell601,1
Cell602,1
Cell603,1
Cell604,1
Cell605,1
Cell606,1
Cell607,1
Cell608,1
Cell609,1
Cell610,1
Cell611,1
Cell612,1
Cell613,1
Cell614,1
Cell615,1
Cell616,1
Cell617,1
Cell618,1
Cell619,1
Cell620,1
Cell621,1
Cell622,1
Cell623,1
Cell624,1
Cell625,1
Cell626,1
Cell627,1
Cell628,1
Cell629,1
Cell630,1
Cell631,1
Cell632,1
Cell633,1
Cell634,1
Cell635,1
Cell636,1
Cell637,1
Cell638,1
Cell639,1
Cell640,1
Cell641,1
Cell642,1
Cell643,1
Cell644,1
Cell645,1
Cell646,1
Cell647,1
Cell648,1
Cell649,1
Cell650,1
Cell651,1
Cell652,1
Cell653,1
Cell654,1
Cell655,1
Cell656,1
Cell657,1
Cell658,1
Cell659,1
Cell660,1
Cell661,1
Cell662,1
Cell663,1
Cell664,1
Cell665,1
Cell666,1
Cell667,1
Cell668,1
Cell669,1
Cell670,1
Cell671,1
Cell672,1
Cell673,1
Cell674,1
Cell675,1
Cell676,1
Cell677,1
Cell678,1
Cell679,1
Cell680,1
Cell681,1
Cell682,1
Cell683,1
Cell684,1
Cell685,1
Cell686,1
Cell687,1
Cell688,1
Cell689,1
Cell690,1
Cell691,1
Cell692,1
Cell693,1
Cell694,1
Cell695,1
Cell696,1
Cell697,1
Cell698,1
Cell699,1
Cell700,1
Cell701,1
Cell702,1
Cell703,1
Cell704,1
Cell705,1
Cell706,1
Cell707,1
Cell708,1
Cell709,1
Cell710,1
Cell711,1
Cell712,1
Cell713,1
Cell714,1
Cell715,1
Cell716,1
Cell717,1
Cell718,1
Cell719,1
Cell720,1
Cell721,1
Cell722,1
Cell723,1
Cell724,1
Cell725,1
Cell726,1
Cell727,1
Cell728,1
Cell729,1
Cell730,1
Cell731,1
Cell732,1
Cell733,1
Cell734,1
Cell735,1
Cell736,1
Cell737,1
Cell738,1
Cell739,1
Cell740,1
Cell741,1
Cell742,1
Cell743,1
Cell744,1
Cell745,1
Cell746,1
Cell747,1
Cell748,1
Cell749,1
Cell750,1
Cell751,1
Cell752,1
Cell753,1
Cell754,1
Cell755,1
Cell756,1
Cell757,1
Cell758,1
Cell759,1
Cell760,1
Cell761,1
Cell762,1
Cell763,1
Cell764,1
Cell765,1
Cell766,1
Cell767,1
Cell768,1
Cell769,1
Cell770,1
Cell771,1
Cell772,1
Cell773,1
Cell774,1
Cell775,1
Cell776,1
Cell777,1
Cell778,1
Cell779,1
Cell780,1
Cell781,1
Cell782,1
Cell783,1
Cell784,1
Cell785,1
Cell786,1
Cell787,1
Cell788,1
Cell789,1
Cell790,1
Cell791,1
Cell792,1
Cell793,1
Cell794,1
Cell795,1
Cell796,1
Cell797,1
Cell798,1
Cell799,1
Cell800,1
Cell801,1
Cell802,1
Cell803,1
Cell804,1
Cell805,1
Cell806,1
Cell807,1
Cell808,1
Cell809,1
Cell810,1
Cell811,1
Cell812,1
Cell813,1
Cell814,1
Cell815,1
Cell816,1
Cell817,1
Cell818,1
Cell819,1
Cell820,1
Cell821,1
Cell822,1
Cell823,1
Cell824,1
Cell825,1
Cell826,1
Cell827,1
Cell828,1
Cell829,1
Cell830,1
Cell831,1
Cell832,1
Cell833,1
Cell834,1
Cell835,1
Cell836,1
Cell837,1
Cell838,1
Cell839,1
Cell840,1
Cell841,1
Cell842,1
Cell843,1
Cell844,1
Cell845,1
Cell846,1
Cell847,1
Cell848,1
Cell849,1
Cell850,1
Cell851,1
Cell852,1
Cell853,1
Cell854,1
Cell855,1
Cell856,1
Cell857,1
Cell858,1
Cell859,1
Cell860,1
Cell861,1
Cell862,1
Cell863,1
Cell864,1
Cell865,1
Cell866,1
Cell867,1
Cell868,1
Cell869,1
Cell870,1
Cell871,1
Cell872,1
Cell873,1
Cell874,1
Cell875,1
Cell876,1
Cell877,1
Cell878,1
Cell879,1
Cell880,1
Cell881,1
Cell882,1
Cell883,1
Cell884,1
Cell885,1
Cell886,1
Cell887,1
Cell888,1
Cell889,1
Cell890,1
Cell891,1
Cell892,1
Cell893,1
Cell894,1
Cell895,1
Cell896,1
Cell897,1
Cell898,1
Cell899,1
Cell900,1
Cell901,1
Cell902,1
Cell903,1
Cell904,1
Cell905,1
Cell906,1
Cell907,1
Cell908,1
Cell909,1
Cell910,1
Cell911,1
Cell912,1
Cell913,1
Cell914,1
Cell915,1
Cell916,1
Cell917,1
Cell918,1
Cell919,1
Cell920,1
Cell921,1
Cell922,1
Cell923,1
Cell924,1
Cell925,1
Cell926,1
Cell927,1
Cell928,2
Cell929,2
Cell930,2
Cell931,2
Cell932,2
Cell933,2
Cell934,2
Cell935,2
Cell936,2
Cell937,2
Cell938,2
Cell939,2
Cell940,2
Cell941,2
Cell942,2
Cell943,2
Cell944,2
Cell945,2
Cell946,2
Cell947,2
Cell948,2
Cell949,2
Cell950,2
Cell951,2
Cell952,2
Cell953,2
Cell954,2
Cell955,2
Cell956,2
Cell957,2
Cell958,2
Cell959,2
Cell960,2
Cell961,2
Cell962,2
Cell963,2
Cell964,2
Cell965,2
Cell966,2
Cell967,2
Cell968,2
Cell969,2
Cell970,2
Cell971,2
Cell972,2
Cell973,2
Cell974,2
Cell975,2
Cell976,2
Cell977,2
Cell978,2
Cell979,2
Cell980,2
Cell981,2
Cell982,2
Cell983,2
Cell984,2
Cell985,2
Cell986,2
Cell987,2
Cell988,2
Cell989,2
Cell990,2
Cell991,2
Cell992,2
Cell993,2
Cell994,2
Cell995,2
Cell996,2
Cell997,2
Cell998,2
Cell999,2
Cell1000,2
Cell1001,2
Cell1002,2
Cell1003,2
Cell1004,2
Cell1005,2
Cell1006,2
Cell1007,2
Cell1008,2
Cell1009,2
Cell1010,2
Cell1011,2
Cell1012,2
Cell1013,2
Cell1014,2
Cell1015,2
Cell1016,2
Cell1017,2
Cell1018,2
Cell1019,2
Cell1020,2
Cell1021,2
Cell1022,2
Cell1023,2
Cell1024,2
Cell1025,2
Cell1026,2
Cell1027,2
Cell1028,2
Cell1029,2
Cell1030,2
Cell1031,2
Cell1032,2
Cell1033,2
Cell1034,2
Cell1035,2
Cell1036,2
Cell1037,2
Cell1038,2
Cell1039,2
Cell1040,2
Cell1041,2
Cell1042,2
Cell1043,2
Cell1044,2
Cell1045,2
Cell1046,2
Cell1047,2
Cell1048,2
Cell1049,2
Cell1050,2
Cell1051,2
Cell1052,2
Cell1053,2
Cell1054,2
Cell1055,2
Cell1056,2
Cell1057,2
Cell1058,2
Cell1059,2
Cell1060,2
Cell1061,2
Cell1062,2
Cell1063,2
Cell1064,2
Cell1065,2
Cell1066,2
Cell1067,2
Cell1068,2
Cell1069,2
Cell1070,2
Cell1071,2
Cell1072,2
Cell1073,2
Cell1074,2
Cell1075,2
Cell1076,2
Cell1077,2
Cell1078,2
Cell1079,2
Cell1080,2
Cell1081,2
Cell1082,2
Cell1083,2
Cell1084,2
Cell1085,2
Cell1086,2
Cell1087,2
Cell1088,2
Cell1089,2
Cell1090,2
Cell1091,2
Cell1092,2
Cell1093,2
Cell1094,2
Cell1095,2
Cell1096,2
Cell1097,2
Cell1098,2
Cell1099,2
Cell1100,2
Cell1101,2
Cell1102,2
Cell1103,2
Cell1104,2
Cell1105,2
Cell1106,2
Cell1107,2
Cell1108,2
Cell1109,2
Cell1110,2
Cell1111,2
Cell1112,2
Cell1113,2
Cell1114,2
Cell1115,2
Cell1116,2
Cell1117,2
Cell1118,2
Cell1119,2
