ImageId,CellId,Cell_CD107a,Cell_CD3,Cell_CD45,Cell_CD68,Cell_CD86,Cell_DNA1,Cell_DNA2,Cell_FerritinHC,Cell_HLADR,Cell_HistoneH3,Cell_Mac2,Cell_MerTK,Cell_PLP,Cell_S100B,Cell_TIM3,Cell_Vimentin,Area,Eccentricity,Solidity,Extent,EulerNumber,Perimeter,MajorAxisLength,MinorAxisLength,Orientation,X_position,Y_position,Percent_Touching,Number_Neighbors,neighbour_4_CellId1,neighbour_4_CellId2,neighbour_4_CellId3,neighbour_4_CellId4,ZScoreNorm_Cell_CD107a,ZScoreNorm_Cell_CD3,ZScoreNorm_Cell_CD45,ZScoreNorm_Cell_CD68,ZScoreNorm_Cell_CD86,ZScoreNorm_Cell_DNA1,ZScoreNorm_Cell_DNA2,ZScoreNorm_Cell_FerritinHC,ZScoreNorm_Cell_HLADR,ZScoreNorm_Cell_HistoneH3,ZScoreNorm_Cell_Mac2,ZScoreNorm_Cell_MerTK,ZScoreNorm_Cell_PLP,ZScoreNorm_Cell_S100B,ZScoreNorm_Cell_TIM3,ZScoreNorm_Cell_Vimentin,ZScoreNorm_Area,ZScoreNorm_Eccentricity,ZScoreNorm_Solidity,ZScoreNorm_Extent,ZScoreNorm_EulerNumber,ZScoreNorm_Perimeter,ZScoreNorm_MajorAxisLength,ZScoreNorm_MinorAxisLength,ZScoreNorm_Orientation,ZScoreNorm_X_position,ZScoreNorm_Y_position,ZScoreNorm_Percent_Touching,ZScoreNorm_Number_Neighbors,Phenograph3894194161,Amount_cells_in_sample
81207,652,3.77118635177612,0,4508.3896484375,17105.74609375,0.813559293746948,9.29660987854004,16.9830513000488,6.17796611785889,0.262711852788925,43.3898315429688,0.51694917678833,0.55932205915451,788.423706054688,0,0.754237294197083,41.3813552856445,118,0.62945944070816,0.907692313194275,0.605128228664398,1,38.7050018310547,14.1003170013428,10.9564161300659,83.0985336303711,712.754211425781,723.610168457031,0.600000023841858,2,660,662,0,0,0.224751085042953,-0.0755581855773926,0.473336786031723,-0.312026113271713,-0.706338822841644,0.0364388935267925,0.053254496306181,-1.26807582378387,-0.0691548958420753,-0.131285935640335,0.313822507858276,0.477252066135406,-0.547133207321167,-0.76604688167572,-0.324063926935196,-0.0975303053855896,-0.215224772691727,-0.520667672157288,0.266954392194748,-0.301566302776337,0.0689815878868103,-0.343911111354828,-0.435057669878006,0.00417036050930619,1.6089540719986,0.739489614963531,0.988851308822632,1.82413291931152,1.23420798778534,7,323
81207,653,2.19540238380432,0,0,12687.5283203125,0.402298837900162,0.678160905838013,1.49425292015076,3,0.0574712641537189,3.3103449344635,0.264367818832397,0.333333343267441,144.747131347656,0,0.252873569726944,0,87,0.793510675430298,0.896907210350037,0.564935088157654,1,34.9500007629395,14.0603151321411,8.55649375915527,-34.1431999206543,746.379333496094,723.896545410156,0,0,0,0,0,0,-0.22067029774189,-0.0755581855773926,-0.616707026958466,-0.683521747589111,-1.63097655773163,-1.26853251457214,-1.25322639942169,-1.53071510791779,-1.49310743808746,-1.04535758495331,-0.777295351028442,-0.297406166791916,-0.659289956092834,-0.76604688167572,-1.90493667125702,-0.146125301718712,-0.534257352352142,0.6077840924263,0.11753187328577,-0.748757541179657,0.0689815878868103,-0.549953699111938,-0.442276567220688,-0.651913702487946,-0.544059097766876,0.851732909679413,0.98989325761795,-0.912582993507385,-0.958443522453308,7,323
81207,655,2.07999992370605,0,17.9899997711182,9154.33984375,0.600000023841858,9.97999954223633,18.9099998474121,6.61999988555908,0.159999996423721,16.5200004577637,0.469999998807907,0.990000009536743,1015.15002441406,0,0.409999996423721,341.809997558594,100,0.86167049407959,0.78125,0.5,1,46.875,18.5142459869385,9.39539051055908,2.94009804725647,660.039978027344,724.619995117188,0,0,0,0,0,0,-0.25329065322876,-0.0755581855773926,-0.612357378005981,-0.980601787567139,-1.1864846944809,0.139915063977242,0.215792745351791,-1.23154449462891,-0.781766414642334,-0.744091928005219,0.111008398234844,1.95355701446533,-0.507627487182617,-0.76604688167572,-1.40949416160583,0.255269378423691,-0.40046951174736,1.07663202285767,-1.48484599590302,-1.47122895717621,0.0689815878868103,0.104389362037182,0.361494481563568,-0.422578454017639,0.136934146285057,0.563525080680847,0.992525279521942,-0.912582993507385,-0.958443522453308,7,323
81207,657,1.91735541820526,0,4337.140625,15103.529296875,0.487603306770325,3.47107434272766,6.1487603187561,10.8347110748291,0.123966939747334,14.4049587249756,0.206611573696136,0.330578505992889,127.438018798828,0,0.735537171363831,0,121,0.414419740438461,0.761006295681,0.504166662693024,1,50.4729995727539,14.1242542266846,12.854284286499,-19.4432125091553,987.867797851562,726.520690917969,0.357142865657806,2,650,664,0,0,-0.299264848232269,-0.0755581855773926,0.431931912899017,-0.480377912521362,-1.43918633460999,-0.845640599727631,-0.860618412494659,-0.883224725723267,-1.03176259994507,-0.792328596115112,-1.02679467201233,-0.306849330663681,-0.662305951118469,-0.76604688167572,-0.38302806019783,-0.146125301718712,-0.184350654482841,-1.99985182285309,-1.76531326770782,-1.42487037181854,0.0689815878868103,0.301817148923874,-0.430737942457199,0.523004174232483,-0.274110287427902,1.6578414440155,0.999440252780914,0.716414570808411,1.23420798778534,7,323
81207,660,7.49019622802734,0,12221.77734375,26717.921875,0.7843137383461,1.43790853023529,2.66013073921204,8.25490188598633,0.104575164616108,5.81045770645142,0.614379107952118,1.47058820724487,792.836608886719,0,1.10457515716553,0,153,0.72370320558548,0.910714268684387,0.642857134342194,1,45.6269989013672,17.4895858764648,12.0697622299194,72.3250198364258,721.568603515625,730.2548828125,0.305084735155106,2,652,662,0,0,1.27599048614502,-0.0755581855773926,2.3382887840271,0.496191561222076,-0.772091746330261,-1.15349447727203,-1.1548844575882,-1.09642994403839,-1.16630208492279,-0.988338828086853,0.734706878662109,3.6009476184845,-0.54636424779892,-0.76604688167572,0.780602395534515,-0.146125301718712,0.144973322749138,0.127602458000183,0.308822512626648,0.118208073079586,0.0689815878868103,0.0359096825122833,0.176580995321274,0.308533728122711,1.41111052036285,0.768912792205811,1.01302623748779,0.478967487812042,1.23420798778534,7,323
81207,662,4.04905652999878,0,1866.88684082031,25613.6875,0.626415073871613,3.56226420402527,6.91320753097534,8.13962268829346,0.120754718780518,10.2641506195068,0.313207536935806,0.524528324604034,1487.69055175781,0,0.569811344146729,0,265,0.859707534313202,0.89527028799057,0.525793671607971,1,66.1460037231445,26.2527713775635,13.4095630645752,-51.8040962219238,702.826416015625,730.260375976562,0.348837196826935,3,640,652,660,0,0.30329567193985,-0.0755581855773926,-0.165328934788704,0.403344511985779,-1.12709558010101,-0.831833004951477,-0.796137273311615,-1.10595703125,-1.05404889583588,-0.886765778064728,-0.566314160823822,0.357983946800232,-0.425290167331696,-0.76604688167572,-0.905585825443268,-0.146125301718712,1.29760730266571,1.06312954425812,0.0948527380824089,-1.18424725532532,0.0689815878868103,1.16181874275208,1.75801432132721,0.67480480670929,-0.868381679058075,0.706349730491638,1.01304614543915,0.678530931472778,2.33053374290466,7,323
81207,664,2.39047622680664,0,8140.78076171875,11799.9716796875,0.523809552192688,12.0380954742432,22.6476192474365,9.97142887115479,0.190476194024086,28.9809532165527,0.323809534311295,0.428571432828903,384.276184082031,0,0.714285731315613,0,105,0.844476819038391,0.897435903549194,0.625,1,38.5719985961914,16.2949905395508,8.72746849060059,63.9968795776367,972.647644042969,732.171447753906,0.020833333954215,1,657,0,0,0,-0.165529444813728,-0.0755581855773926,1.35158061981201,-0.758149981498718,-1.35778379440308,0.451543688774109,0.531061112880707,-0.954569637775421,-0.570323646068573,-0.459901601076126,-0.520515024662018,0.0290569458156824,-0.617553472518921,-0.76604688167572,-0.450037062168121,-0.146125301718712,-0.349012643098831,0.958362638950348,0.124856509268284,-0.0804715529084206,0.0689815878868103,-0.35120901465416,-0.0389997102320194,-0.605173230171204,1.25817358493805,1.60703527927399,1.01999890804291,-0.817558109760284,0.137882217764854,7,323
81207,669,4.12389373779297,0,1728.49560546875,15226.681640625,0.823008835315704,9.9557523727417,16.6548671722412,7.12389373779297,0.141592919826508,17.0353984832764,0.336283177137375,0.513274312019348,2499.49560546875,0,0.610619485378265,0,113,0.780246257781982,0.903999984264374,0.579487204551697,1,40.8549995422363,15.8010997772217,9.88315200805664,-55.0622520446777,549.725646972656,740.35400390625,0.203703701496124,3,658,676,695,0,0.32444965839386,-0.0755581855773926,-0.198789328336716,-0.470022916793823,-0.685093462467194,0.136243566870689,0.0255721937865019,-1.18990075588226,-0.90947413444519,-0.732337534427643,-0.466630488634109,0.319406896829605,-0.248989254236221,-0.76604688167572,-0.776911795139313,-0.146125301718712,-0.266681641340256,0.516542911529541,0.215799152851105,-0.586849868297577,0.0689815878868103,-0.22593729197979,-0.128128856420517,-0.289235651493073,-0.928214073181152,0.195286691188812,1.04976868629456,0.0165489632636309,2.33053374290466,7,323
81207,673,2.51260495185852,0,3077.52099609375,11327.4365234375,0.697479009628296,2.94117641448975,5.16806745529175,10.0252103805542,0.0756302550435066,11.8403358459473,0.487394958734512,0.378151267766953,235.403366088867,0,0.84033614397049,0,119,0.825166702270508,0.757961809635162,0.53125,1,54.3269996643066,18.0877895355225,10.2175979614258,-30.3194618225098,758.915954589844,740.100830078125,0.223880603909492,1,684,0,0,0,-0.131007716059685,-0.0755581855773926,0.12737962603569,-0.797881901264191,-0.967322468757629,-0.925875663757324,-0.943339943885803,-0.95012491941452,-1.36712098121643,-0.850818574428558,0.186152309179306,-0.143776476383209,-0.64349365234375,-0.76604688167572,-0.0525817349553108,-0.146125301718712,-0.204933404922485,0.825535178184509,-1.80749356746674,-1.12353956699371,0.0689815878868103,0.513292074203491,0.284534811973572,-0.197805717587471,-0.473840415477753,0.89358127117157,1.04884767532349,0.10857967287302,0.137882217764854,7,323
81207,674,2.31914901733398,0,0,12934.7548828125,0.765957474708557,1.59574472904205,2.86170220375061,7.06382989883423,0.170212760567665,16.138298034668,0.521276593208313,0.414893627166748,4800.978515625,21.8723411560059,0.478723406791687,0,94,0.575335025787354,0.696296274662018,0.482051283121109,1,51.8790016174316,15.1509628295898,12.3922433853149,-17.6498737335205,589.787231445312,741.64892578125,0.421875,1,676,0,0,0,-0.185691267251968,-0.0755581855773926,-0.616707026958466,-0.662734270095825,-0.813362240791321,-1.12959563732147,-1.13788199424744,-1.19486474990845,-0.710910618305206,-0.752797245979309,0.332516491413116,-0.0178287159651518,0.152030259370804,-0.764370203018188,-1.19279932975769,-0.146125301718712,-0.462217748165131,-0.892971158027649,-2.66184067726135,-1.67092740535736,0.0689815878868103,0.37896654009819,-0.245454728603363,0.396692633628845,-0.241177618503571,0.329015523195267,1.05447995662689,1.01167035102844,0.137882217764854,7,323
