ImageId,CellId,Cell_CD107a,Cell_CD3,Cell_CD45,Cell_CD68,Cell_CD86,Cell_DNA1,Cell_DNA2,Cell_FerritinHC,Cell_HLADR,Cell_HistoneH3,Cell_Mac2,Cell_MerTK,Cell_PLP,Cell_S100B,Cell_TIM3,Cell_Vimentin,Area,Eccentricity,Solidity,Extent,EulerNumber,Perimeter,MajorAxisLength,MinorAxisLength,Orientation,X_position,Y_position,Percent_Touching,Number_Neighbors,neighbour_4_CellId1,neighbour_4_CellId2,neighbour_4_CellId3,neighbour_4_CellId4,ZScoreNorm_Cell_CD107a,ZScoreNorm_Cell_CD3,ZScoreNorm_Cell_CD45,ZScoreNorm_Cell_CD68,ZScoreNorm_Cell_CD86,ZScoreNorm_Cell_DNA1,ZScoreNorm_Cell_DNA2,ZScoreNorm_Cell_FerritinHC,ZScoreNorm_Cell_HLADR,ZScoreNorm_Cell_HistoneH3,ZScoreNorm_Cell_Mac2,ZScoreNorm_Cell_MerTK,ZScoreNorm_Cell_PLP,ZScoreNorm_Cell_S100B,ZScoreNorm_Cell_TIM3,ZScoreNorm_Cell_Vimentin,ZScoreNorm_Area,ZScoreNorm_Eccentricity,ZScoreNorm_Solidity,ZScoreNorm_Extent,ZScoreNorm_EulerNumber,ZScoreNorm_Perimeter,ZScoreNorm_MajorAxisLength,ZScoreNorm_MinorAxisLength,ZScoreNorm_Orientation,ZScoreNorm_X_position,ZScoreNorm_Y_position,ZScoreNorm_Percent_Touching,ZScoreNorm_Number_Neighbors,Phenograph3894194161,tSNE3764571739_1,tSNE3764571739_2
976960,13,1.71428571428571,0,18.3571428571429,34401.2857142857,1.125,11.1607142857143,21.5535714285714,14.6964285714286,0.428571428571429,113.142857142857,0.142857142857143,0.196428571428571,1863.25,0,0.428571428571429,0,56,0.874191622292909,0.811594202898551,0.466666666666667,1,32.229,13.2178450703608,6.41833578748994,49.4082873510744,135.892857142857,40.0178571428571,0.25,1,15,0,0,0,-0.35666584125651,-0.0755581837515812,-0.612268599142782,1.14222955586937,-0.00612620164310406,0.318694140740263,0.438778124967553,-0.564077617466895,1.0815733140846,1.45953447609196,-1.30220531202715,-0.766696914762572,-0.359851201993121,-0.766046861351448,-1.35093576013948,-0.146125297772927,-0.853289982690973,1.16276061721866,-1.06444090258269,-1.8420975300597,0.0689815879984135,-0.699259176520777,-0.594311561068977,-1.2364374922178,0.99027042515023,-1.18612158428366,-1.49819410698439,0.227715313177166,0.137882223090585,2,19.7685667914907,-3.70864472590032
976960,14,0.125,0,0,0,0.5625,1.078125,2.390625,19.921875,0.0625,2.703125,0.09375,0.09375,1136.421875,41385.03125,0.125,0,64,0.852433124605057,0.780487804878049,0.484848484848485,1,34.644,13.9342925433403,7.28535357640768,-55.1298610364632,430.09375,43.046875,0,0,0,0,0,0,-0.805903671154044,-0.0755581837515812,-0.616707010684921,-1.75032340207128,-1.27079597967725,-1.20797150589703,-1.17761732384185,-0.132226782891024,-1.45821824101368,-1.05920611436893,-1.51434164949606,-1.11866496826318,-0.486496607594557,2.40638470960923,-2.30814064206233,-0.146125297772927,-0.770958987924173,1.01309140112291,-1.49540581833053,-1.63980555169584,0.0689815879984135,-0.566744413299962,-0.465019074437105,-0.999414584100077,-0.929455636200751,-0.204054573360809,-1.48717393478645,-0.912582980802301,-0.95844351819206,10,3.32601242450935,34.8322061499481
976960,15,2.53246753246753,0,0,45478.987012987,1.7012987012987,8.81818181818182,17.3766233766234,17.1948051948052,0.324675324675325,78.1818181818182,0.142857142857143,0.233766233766234,3684.77922077922,63.4155844155844,0.701298701298701,0,77,0.664931509826901,0.927710843373494,0.641666666666667,1,30.914,11.6817293308781,8.7251342900223,74.3849543732193,128.558441558442,49.7272727272727,0.263157894736842,1,13,0,0,0,-0.125393250584031,-0.0755581837515812,-0.616707010684921,2.07367258171636,1.28956722173964,-0.0360028267719815,0.0864523567852825,-0.357602238829245,0.360745555653162,0.662196541570826,-1.30220531202715,-0.638708531671441,-0.0424607501852012,-0.761185644722768,-0.490986989214141,-0.146125297772927,-0.637171121428122,-0.276667666949209,0.544302036610185,0.104962761692472,0.0689815879984135,-0.771415248419482,-0.871524101000325,-0.605811343019261,1.44893895283781,-1.21060447255739,-1.46286931303204,0.287731012860295,0.137882223090585,2,5.48782782056333,-20.3907566943716
976960,16,2.11842105263158,67.6315789473684,0,33399.8552631579,1.09210526315789,29.4736842105263,50.8684210526316,39.6052631578947,0.697368421052632,136.407894736842,0.118421052631579,0.223684210526316,2573.38157894737,7892.6052631579,0.473684210526316,0,76,0.5924037188911,0.926829268292683,0.703703703703704,1,31.369,11.3227619915121,9.12208419556692,-80.5521694141872,313.868421052632,52.9605263157895,0,0,0,0,0,0,-0.242430319756842,-0.0180957312171563,-0.616707010684921,1.0580265805027,-0.0800834986041653,3.09157135311714,2.91148709440944,1.49448353161727,2.94647802463174,1.99012789016118,-1.40776597756192,-0.673268323901998,-0.236115068576189,-0.161027380691457,-1.20868859502401,-0.146125297772927,-0.647462495773972,-0.77556137598401,0.532088217119523,0.795190484165465,0.0689815879984135,-0.746448698827155,-0.936304537357003,-0.497294283517305,-1.39630786847385,-0.592024372787254,-1.45110609043465,-0.912582980802301,-0.95844351819206,5,12.2208956788827,9.05521949503732
976960,17,6.71186440677966,0,0,34451.0677966102,1,14.7966101694915,25.9830508474576,22.4576271186441,0.152542372881356,16.4406779661017,0.23728813559322,0.813559322033898,7522.69491525424,0,0.627118644067797,0,59,0.749094273646863,0.907692307692308,0.655555555555556,1,27.151,11.0660355222645,7.33084362392503,-41.337665516762,85.7118644067797,54.6271186440678,0,0,0,0,0,0,1.05598223478007,-0.0755581837515812,-0.616707010684921,1.14641536772175,-0.287163930095137,0.869227062712736,0.812404926042753,0.0773374493105403,-0.833507213612489,-0.745901005800131,-0.894275960469056,1.34874261681516,0.6262728514361,-0.766046861351448,-0.724887502371396,-0.146125297772927,-0.822415859653423,0.302259015678241,0.266954381714515,0.259491356275978,0.0689815879984135,-0.977896844278665,-0.982634247273065,-0.986978641619087,-0.676177406283536,-1.3536299050874,-1.44504269453949,-0.912582980802301,-0.95844351819206,1,-3.06454750967885,-30.3065705202505
976960,18,0.408602150537634,0,2.76344086021505,223.838709677419,1.21505376344086,16.6451612903226,32.3225806451613,29.0430107526882,0.301075268817204,55.258064516129,0.10752688172043,0.043010752688172,14419.6344086022,48581.2903225806,0.408602150537634,0,93,0.479223123974033,0.958762886597938,0.768595041322314,1,32.477,11.7907554157775,10.3486648042763,-19.690252241191,786.505376344086,54.258064516129,0,0,0,0,0,0,-0.725738843951113,-0.0755581837515812,-0.616038862710835,-1.73150243918179,0.196341839284704,1.14912733557461,1.34714456802816,0.621578684435349,0.197009142783654,0.139386609645141,-1.45482734954144,-1.29259214570598,1.82802285188306,2.95802472980776,-1.41390179917805,-0.146125297772927,-0.472509131894521,-1.55409173049214,0.974513891521854,1.51717532277049,0.0689815879984135,-0.68565103520452,-0.851848892201327,-0.161975093261698,-0.2786468964462,0.985677031946893,-1.44638538719831,-0.912582980802301,-0.95844351819206,10,7.59539687262721,38.1741582371701
976960,19,0.529411764705882,0,0,0,1.15686274509804,34.5294117647059,61.7254901960784,45.2156862745098,0.843137254901961,206.803921568627,0.117647058823529,0.137254901960784,5946.27450980392,40565.6862745098,0.647058823529412,0,51,0.686386747234731,0.944444444444444,0.80952380952381,1,22.933,9.55510974074206,6.94882657712303,16.5177734157688,744.921568627451,61.156862745098,0,0,0,0,0,0,-0.691590013182761,-0.0755581837515812,-0.616707010684921,-1.75032340207128,0.0655108663936888,3.85708955057655,3.82728139651691,1.95815030886837,3.95781740900222,3.59561286144884,-1.41110952805397,-0.969536134000775,0.351591128509326,2.34357659302111,-0.662013215364558,-0.146125297772927,-0.904746854420224,-0.129084473934421,0.776138425090362,1.9725512048017,0.0689815879984135,-1.20934498973018,-1.25530092386389,-1.09141339779241,0.386272958706094,0.846866828651907,-1.42128618077972,-0.912582980802301,-0.95844351819206,6,-20.1109435510048,30.7847853098692
976960,20,1.96385542168675,0,758.614457831325,43510.4096385542,1.24096385542169,21.6506024096386,39.3975903614458,16.3734939759036,0.240963855421687,56.8674698795181,0.072289156626506,0.313253012048193,15398.3253012048,0,0.457831325301205,0,83,0.555837923555277,0.943181818181818,0.754545454545455,1,30.517,11.4180730080098,9.49173773062883,36.2275988666676,759.084337349398,67.3734939759036,0,0,0,0,0,0,-0.28612084563161,-0.0755581837515812,-0.433288316835077,1.90814928253961,0.254595546438902,1.90703136067981,1.94392197636208,-0.425478532305311,-0.220041870191448,0.176091467005986,-1.60704964363636,-0.366238762744067,1.99855382170773,-0.766046861351448,-1.25867504862884,-0.146125297772927,-0.575422875353022,-1.0270848957758,0.758645315777768,1.36085879403478,0.0689815879984135,-0.793199248833007,-0.919104395279384,-0.396239429745806,0.748221837334598,0.894143326728028,-1.3986688342055,-0.912582980802301,-0.95844351819206,9,30.2000310359626,8.65864061406514
976960,21,0.202020202020202,0,0,41.5353535353535,0.898989898989899,25.3333333333333,46.6565656565657,7.2020202020202,0.363636363636364,68.3131313131313,0.0606060606060606,0.121212121212121,3707.0303030303,45408.5252525253,0.252525252525253,0,99,0.456028715416701,0.951923076923077,0.818181818181818,1,34.346,12.1016597656557,10.7700543777617,25.0681163396273,548.171717171717,71.3131313131313,0,0,0,0,0,0,-0.784132640241974,-0.0755581837515812,-0.616707010684921,-1.74683099743484,-0.51426512480385,2.46465585848413,2.55621689007939,-1.18344412580678,0.631055965064953,0.437126616930324,-1.65751906734698,-1.0245285850476,-0.0385836336567796,2.71481167012245,-1.90603496676853,-0.146125297772927,-0.410760885819421,-1.71363808320373,0.879751457172656,2.0688807183083,0.0689815879984135,-0.583096131494498,-0.795742062299011,-0.0467767854130439,0.543290434121566,0.190099486302369,-1.38433564638646,-0.912582980802301,-0.95844351819206,10,3.95464805120348,38.8326991128672
976960,22,0.228915662650602,0,0,309.638554216867,1.06024096385542,10.8072289156626,21.3132530120482,9.90361445783133,0.27710843373494,48.3253012048193,0.108433734939759,0.132530120481928,12812.843373494,42024.1445783133,0.289156626506024,0,83,0.33934810866847,0.932584269662921,0.685950413223141,1,32.204,10.9333424165104,10.2845673243985,67.4658221472627,610.855421686747,73.0602409638554,0,0,0,0,0,0,-0.776530194527469,-0.0755581837515812,-0.616707010684921,-1.72428815666414,-0.151724060961627,0.265170789173089,0.418507255026902,-0.960174066491221,0.0307280276965984,-0.0187252584067165,-1.45090986403164,-0.985732036584847,1.5480492303917,2.45537689927111,-1.79053091498427,-0.146125297772927,-0.575422875353022,-2.51624381435832,0.611821128625984,0.597666330207485,0.0689815879984135,-0.700630964959917,-1.00658048513263,-0.179497883771701,1.32187683569698,0.399342897254689,-1.37797931238392,-0.912582980802301,-0.95844351819206,10,6.39278154592216,37.9796252082705
