ImageId,CellId,Cell_CD107a,Cell_CD3,Cell_CD45,Cell_CD68,Cell_CD86,Cell_DNA1,Cell_DNA2,Cell_FerritinHC,Cell_HLADR,Cell_HistoneH3,Cell_Mac2,Cell_MerTK,Cell_PLP,Cell_S100B,Cell_TIM3,Cell_Vimentin,Area,Eccentricity,Solidity,Extent,EulerNumber,Perimeter,MajorAxisLength,MinorAxisLength,Orientation,X_position,Y_position,Percent_Touching,Number_Neighbors,neighbour_4_CellId1,neighbour_4_CellId2,neighbour_4_CellId3,neighbour_4_CellId4,neighbour_4_CellId5,neighbour_4_CellId6,ZScoreNorm_Cell_CD107a,ZScoreNorm_Cell_CD3,ZScoreNorm_Cell_CD45,ZScoreNorm_Cell_CD68,ZScoreNorm_Cell_CD86,ZScoreNorm_Cell_DNA1,ZScoreNorm_Cell_DNA2,ZScoreNorm_Cell_FerritinHC,ZScoreNorm_Cell_HLADR,ZScoreNorm_Cell_HistoneH3,ZScoreNorm_Cell_Mac2,ZScoreNorm_Cell_MerTK,ZScoreNorm_Cell_PLP,ZScoreNorm_Cell_S100B,ZScoreNorm_Cell_TIM3,ZScoreNorm_Cell_Vimentin,ZScoreNorm_Area,ZScoreNorm_Eccentricity,ZScoreNorm_Solidity,ZScoreNorm_Extent,ZScoreNorm_EulerNumber,ZScoreNorm_Perimeter,ZScoreNorm_MajorAxisLength,ZScoreNorm_MinorAxisLength,ZScoreNorm_Orientation,ZScoreNorm_X_position,ZScoreNorm_Y_position,ZScoreNorm_Percent_Touching,ZScoreNorm_Number_Neighbors,Phenograph3894194161,tSNE3764571739_1,tSNE3764571739_2
970496,872,1.28260869565217,0,955.369565217391,30591.3804347826,0.858695652173913,17.0760869565217,31.9239130434783,18.1847826086957,0.184782608695652,36.2173913043478,0.391304347826087,0.358695652173913,36.3152173913044,0,0.978260869565217,0,92,0.758383708095669,0.893203883495146,0.657142857142857,1,35.802,14.164684032618,9.23265961187638,-9.03167147803078,717.782608695652,612.54347826087,0.0208333333333333,1,879,0,0,0,0,0,-0.47868647311925,-0.0755581837515812,-0.385716636078813,0.821882436368423,-0.604858753562651,1.2143763893839,1.31351693673721,-0.27578672732342,-0.609825515821782,-0.294863959037685,-0.228946371472969,-0.210467627944973,-0.678183540262021,-0.766046861351448,0.382315023495753,-0.146125297772927,-0.482800506240371,0.36615783773257,0.0662238918219376,0.277151767085521,0.0689815879984135,-0.50320317279905,-0.423441862330193,-0.467065484206611,-0.0829139933513512,0.756274726768932,0.584768500043624,-0.817558122970678,0.137882223090585,2,19.3621392682148,-16.2095767528153
970496,873,1.23809523809524,0,0,32406.4761904762,0.952380952380952,4.98412698412698,9.82539682539683,8.49206349206349,0.142857142857143,1.19047619047619,0.380952380952381,0.253968253968254,0,0,0.73015873015873,0,63,0.728800603829508,1,0.636363636363636,1,26.614,10.9614034791859,7.50555783687871,61.0529476429884,758.428571428571,612.015873015873,0,0,0,0,0,0,0,0,-0.491268936356895,-0.0755581837515812,-0.616707010684921,0.974500586767863,-0.394225921886387,-0.616540190400245,-0.550493964378192,-1.07683002516304,-0.900703021601861,-1.0937042961531,-0.27366549399606,-0.56945877850136,-0.684511247291831,-0.766046861351448,-0.399987119274952,-0.146125297772927,-0.781250362270023,0.1626658462948,1.54583523484455,0.0459609346696786,0.0689815879984135,-1.00736285995137,-1.00151649271493,-0.93921575673587,1.20411157484321,0.891954325629233,0.582848966740549,-0.912582980802301,-0.95844351819206,2,22.3336300963351,-13.0558490951082
970496,874,2.62666666666667,0,15420,27995.8666666667,1.49333333333333,1.50666666666667,2.74666666666667,17.4533333333333,0.253333333333333,26.88,1.08,0.333333333333333,10437.6266666667,14810.0533333333,1.2,0,75,0.621372666152169,0.914634146341463,0.625,1,30.914,11.4316576614991,8.95687710950266,-84.0530093562971,257.093333333333,612.946666666667,0.368421052631579,1,878,0,0,0,0,0,-0.0987663110441733,-0.0755581837515812,3.1115586847119,0.603644632999877,0.821998304862218,-1.14308342783362,-1.14758519221054,-0.336236486847888,-0.134222838469761,-0.507816906595142,2.74612741174322,-0.297406176761758,1.13418208232632,0.369239964420324,1.08149076333505,-0.146125297772927,-0.657753870119822,-0.576293959185104,0.363130380832018,-0.0804715518077353,0.0689815879984135,-0.771415248419482,-0.91665286366554,-0.54245813653292,-1.4605968747089,-0.781544330221401,0.586235380025733,0.767856610325334,0.137882223090585,3,-20.80956112009,-2.25945794717734
970496,875,1.52702702702703,0,3.47297297297297,24217.0405405405,0.797297297297297,5.94594594594595,11.3648648648649,12.8648648648649,0.283783783783784,56.5405405405405,0.662162162162162,0.0945945945945946,4705.87837837838,18556.0945945946,0.891891891891892,0,74,0.557497899743347,0.948717948717949,0.672727272727273,1,28.4,10.7766628584395,8.94655218365999,-23.6399309205405,837.256756756757,616.351351351351,0,0,0,0,0,0,0,0,-0.409597598924364,-0.0755581837515812,-0.615867311203975,0.285910732602938,-0.742900787044378,-0.470905381157956,-0.420639761536319,-0.715445031920449,0.0770413872164628,0.168635362392928,0.941123426219039,-1.11576981388656,0.135459603369403,0.656398369389429,0.109981070776154,-0.146125297772927,-0.668045244465672,-1.01566649095897,0.83534587199453,0.450544891397403,0.0689815879984135,-0.909362293859287,-1.03485539771362,-0.545280736000441,-0.351178323601395,1.15508935418033,0.598622303204944,-0.912582980802301,-0.95844351819206,4,-13.0159212222028,8.36106728948049
970496,876,2.64383561643836,0,56.3287671232877,34142.2739726027,2.45205479452055,19.2191780821918,34.9315068493151,15.4246575342466,0.315068493150685,46,0.191780821917808,0.438356164383562,7.04109589041096,0,1.28767123287671,0,73,0.621445935589789,0.960526315789474,0.663636363636364,1,28.764,11.023055796458,8.63609077588608,-38.7439463288857,512.342465753425,616.739726027397,0,0,0,0,0,0,0,0,-0.0939132241084991,-0.0755581837515812,-0.603087775267946,1.1204511495107,2.97749351822436,1.53887474059705,1.56720761826903,-0.503893996860674,0.294093673880392,-0.071757173787043,-1.09086151380158,0.0625976770470847,-0.683284378910919,-0.766046861351448,1.35793091618046,-0.146125297772927,-0.678336618811522,-0.575789963943814,0.998945396334995,0.349398902215473,0.0689815879984135,-0.889389054185425,-0.99039051110796,-0.630153810889421,-0.628546657149416,0.0704984697920231,0.60003528787826,-0.912582980802301,-0.95844351819206,1,-6.94879275654108,-19.2736692633199
970496,877,1.65957446808511,0,3151.43971631206,32019.2836879433,1.04964539007092,6.36879432624113,12.2553191489362,15.5106382978723,0.191489361702128,20.886524822695,0.432624113475177,0.368794326241135,2750.44680851064,2792.36879432624,0.829787234042553,0,141,0.886160755276761,0.892405063291139,0.55952380952381,1,48.166,20.4335925572804,9.4684760376485,68.4959249342123,606.177304964539,618.297872340426,0,0,0,0,0,0,0,0,-0.372130877714852,-0.0755581837515812,0.145251782144996,0.941944396054649,-0.175546108865961,-0.406879357917324,-0.345529900038209,-0.496788218428762,-0.563294283612675,-0.644506926700141,-0.0504504696573973,-0.175850758963213,-0.205262523050448,-0.551993648068301,-0.0858439512401973,-0.146125297772927,0.0214768367062817,1.24509216311573,0.0551566032953004,-0.808963497701406,0.0689815879984135,0.175228517661471,0.707866157014891,-0.402598646578971,1.34079352014644,0.383726955163181,0.605704135501146,-0.912582980802301,-0.95844351819206,2,19.3192561670381,-14.2055422740675
970496,878,2.56410256410256,0,925.858974358974,22520.4487179487,1.03846153846154,17.4871794871795,33.2564102564103,17.5512820512821,0.230769230769231,29.2435897435897,1,0.282051282051282,3571.64102564103,14698.4230769231,0.846153846153846,0,78,0.669262245836812,0.928571428571429,0.644628099173554,1,31.187,11.9213672504311,8.8578891086728,32.88753041134,259.166666666667,621.5,0.384615384615385,1,874,0,0,0,0,0,-0.116451086923516,-0.0755581837515812,-0.392851741367291,0.143256712761524,-0.200690782879126,1.27662238853747,1.4259131404506,-0.328141630997772,-0.290771841390641,-0.453911764751119,2.40053803288477,-0.473194011731963,-0.0621743965335606,0.360682779877656,-0.0342376420193641,-0.146125297772927,-0.626879747082272,-0.246878024620971,0.55622505087488,0.137911833925979,0.0689815879984135,-0.756435318664085,-0.828278247425815,-0.569519200475726,0.686885219465507,-0.774623371384264,0.617354115749714,0.841722086858417,0.137882223090585,4,-13.6728678627633,3.63346345963197
970496,879,1.61224489795918,0,734.285714285714,28595.1836734694,1.24489795918367,4.89795918367347,9.6734693877551,17.3061224489796,0.346938775510204,13.7755102040816,0.408163265306122,0.285714285714286,2313,1180.10204081633,0.755102040816326,0,49,0.437684346947955,0.98,0.680555555555556,1,22.214,8.46461944355552,7.61078224461422,-66.7918173452262,718.591836734694,624.061224489796,0.0333333333333333,1,872,0,0,0,0,0,-0.385509361635164,-0.0755581837515812,-0.439170548999358,0.654036824593212,0.263440599117009,-0.629587376700402,-0.563309051017855,-0.348402556127484,0.515208646745614,-0.806684078090676,-0.156118086221078,-0.46063773780552,-0.281484984162398,-0.675584371456848,-0.321337231684653,-0.146125297772927,-0.925329603111924,-1.83982267957969,1.26874438333304,0.537642826526289,0.0689815879984135,-1.24879762523981,-1.45209441883542,-0.910449801244266,-1.14361440787972,0.75897599716189,0.626672362206582,-0.760543208271705,0.137882223090585,2,16.0192454095224,-13.5532706300508
970496,880,2.54166666666667,0,5118.58333333333,19735.4583333333,1.08333333333333,0.5,1.125,18.0208333333333,0.125,23.9583333333333,0.854166666666667,0.395833333333333,10467.3958333333,16721.0625,0.8125,0,48,0.666783522368252,0.979591836734694,0.666666666666667,1,22.578,9.19576218030232,6.85315516394451,-43.6660410771218,54.0416666666667,625.333333333333,0,0,0,0,0,0,0,0,-0.122792963519592,-0.0755581837515812,0.620870074314856,-0.090912795952803,-0.0998054444604484,-1.29550889852024,-1.28437285319245,-0.289336121114198,-1.02459529258226,-0.574449813813813,1.77055739434073,-0.0831647528918219,1.13936917960178,0.515731235046792,-0.140353115354702,-0.146125297772927,-0.935620977457774,-0.263928310159045,1.26308946799607,0.383114231942782,0.0689815879984135,-1.22882438556595,-1.3201499761763,-1.11756778224121,-0.718935416758956,-1.45934765505041,0.631300548361786,-0.912582980802301,-0.95844351819206,4,-16.2852103361414,4.20425996492665
970496,881,2.03703703703704,0,0,24043.7777777778,1.55555555555556,35.7777777777778,64.7222222222222,14.7777777777778,0.240740740740741,84.962962962963,0.481481481481481,0.574074074074074,0,0,1.16666666666667,0,54,0.785515796864317,0.885245901639344,0.613636363636364,1,26.804,10.9641456213016,6.78506948080599,71.2433545094663,697.203703703704,626.111111111111,0,0,0,0,0,0,0,0,-0.26543485457736,-0.0755581837515812,-0.616707010684921,0.271342331843362,0.961892640802786,4.04611217686628,4.08005588641154,-0.557354608603595,-0.221589832524091,0.81685052595362,0.160606873617067,0.527820048515034,-0.684511247291831,-0.766046861351448,0.976385913555286,-0.146125297772927,-0.873872731382673,0.552790137227725,-0.0440303066149196,-0.206904038285149,0.0689815879984135,-0.996937267813913,-1.0010216366561,-1.13618085664977,1.39124698846107,0.687580633024895,0.634130259326555,-0.912582980802301,-0.95844351819206,2,12.6732738964065,-22.4463642010764
